object_id,spec_obj_id,ra,dec,class,label,split
1237648675068969138,3.896773946481316e+17,243.828327515219,0.772318374708,GALAXY,1,train
1237645943978918365,1.1958605012680315e+18,56.4237667368927,0.93879214637793,GALAXY,1,train
1237646791699072707,8.171908628271618e+18,99.9330607002887,-0.827863002469117,STAR,0,train
1237645943979049249,1.83763582399915e+18,56.6723299780955,0.86084770857128,GALAXY,1,test
1237648702973411541,3.33344196159105e+17,199.319873829466,-1.17321404262268,GALAXY,1,val
1237646647834247598,8.974563380518195e+17,71.7453248545971,0.525701701948991,STAR,0,train
1237648704583107512,4.562187747981548e+18,197.225614978784,0.146598411679202,QSO,2,train
1237646748744090071,8.974090590518252e+17,71.3578630973584,-1.07297328284047,STAR,0,train
1237645943978984168,2.9714170489801544e+18,56.5603295682206,1.04036934548035,GALAXY,1,train
1237645943979770291,1.399660759130073e+18,58.3121161332288,0.913615890937741,GALAXY,1,train
1237648705121747103,4.560092628742593e+18,201.153456114868,0.584629468270321,QSO,2,train
1237646586096189817,8.973518844471808e+17,73.294193999177,-0.538461336587375,STAR,0,train
1237646587169473119,8.974810770634445e+17,72.2145689120277,0.364606657077828,STAR,0,train
1237646706891555199,8.171941063864637e+18,100.14730504009,-0.305955773634554,STAR,0,val
1237648704597131531,4.519598440645417e+18,229.131035250044,0.058813467453557,QSO,2,test
1237648704042041625,4.331343082689944e+18,187.520247163017,-0.299608567802619,QSO,2,train
1237646381005670208,1.4175528369877422e+18,94.3081963773054,0.12953552802338,STAR,0,val
1237646795985390046,8.388010768726252e+18,110.566143395471,-0.857327932178954,STAR,0,test
1237646705817749011,8.171898182911154e+18,100.063663140334,-0.971001744106652,STAR,0,train
1237648705131708531,3.4804301752280064e+17,223.965557396187,0.450941970398401,QSO,2,val
1237645943979835605,1.398536233126226e+18,58.4249436821066,0.966680179966369,GALAXY,1,train
1237646587175764089,8.170720057091185e+18,86.6600192217561,0.253220437280427,STAR,0,train
1237646647297966422,8.975036170518139e+17,73.0450123587453,0.146316427027396,QSO,2,train
1237645943978525118,2.9713716941255086e+18,55.4553082303693,1.00666659125232,GALAXY,1,train
1237646586638827778,8.170731052207462e+18,86.4076014134698,-0.0339754781754168,STAR,0,val
1237646586102874849,1.4052108449035323e+18,88.4712020433652,-0.487079799143906,STAR,0,val
1237648703522997501,4.5230022487171625e+18,228.339236573431,-0.63490109668971,QSO,2,train
1237648705137082855,4.565601727727032e+18,236.293905537241,0.602705494427034,QSO,2,val
1237645943978983595,2.972542685585449e+18,56.5212867647767,0.889933910290018,GALAXY,1,test
1237646587175503303,1.4029983526473175e+18,85.9729109313211,0.404957303849132,STAR,0,train
1237646381542998673,1.4176391486505226e+18,95.3890671359407,0.578667738413553,STAR,0,test
1237648704040206633,4.3291041976919214e+18,183.371335298744,-0.317038915538974,QSO,2,val
1237646794381657037,1.4176806552144712e+18,95.8566956383542,1.37512001578351,STAR,0,train
1237648675067135162,3.863406517189612e+17,239.656593798473,0.779200364267595,GALAXY,1,train
1237648705651867848,4.330481061194914e+18,185.825698372418,0.911740006634025,QSO,2,train
1237646587176748581,1.4052419061070172e+18,88.904714553644,0.415572308351656,STAR,0,train
1237648720135193582,1.4101975647896492e+19,130.271577147268,-0.875107286331169,QSO,2,train
1237646587714666944,1.4063526878464184e+18,91.2604811495167,0.671822307321525,STAR,0,test
1237648704041517280,3.2544970277233664e+17,186.397591466526,-0.344259490845988,QSO,2,train
1237646586639615052,1.4040046504488735e+18,88.2629635581308,-0.0605521195514445,STAR,0,val
